id,news_url,title,tweet_ids
1,https://aosfatos.org/noticias/governo-bolsonaro-nao-suspendeu-distribuicao-de-insulina-no-sus/,Espaço dedicado para os eleitores do Bolsonaro explicarem a retirada da INSULINA do SUS.,1153056810749874177	1152223909711929344	1151912524146782210	1151880657292988416	1151650554491342850	1151597554427146246	1151569193621434369	1151544471730970625	1151542402341048321	1151538279541596161
2,https://aosfatos.org/noticias/nao-e-miriam-leitao-quem-segura-fuzil-ao-lado-de-carlos-lamarca-em-foto/,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia.",1153007037594447872	1153004081776082944
3,https://aosfatos.org/noticias/nao-e-verdade-que-benedita-da-silva-foi-embaixadora-do-brasil-nos-eua/,Você sabia que Benedita da Silva já foi embaixadora em News York e nem inglês falava! Elá lembrado do escândalo do aluguel da limusine nos USA por Benedita Percebo que a petralhada tem uma síndrome do esquecimento oportuno! Mas nós estamos ajudando a lembrar!,1153060425031983105	1153050789331525632	1153034505302790144	1152991806986084353	1152981733220003842	1152980276072632321	1152976184873037825	1152974607147765762	1152970358955417602	1152956670907179009
4,https://aosfatos.org/noticias/nao-e-de-mulher-que-empurrou-padre-marcelo-rossi-foto-com-o-filtro-ele-nao/,QUEM  A MULHER QUE EMPURROU O PADRE MARCELO ROSSI,1223940254949879808	1158373548001570816	1153962356726276099	1153001416274907143	1152997933790519297	1152602725919678466	1152071626524991489	1151487562462236672	1151487552651743233	1151350232669720579
5,https://aosfatos.org/noticias/e-falso-que-reforma-tira-de-pessoas-com-deficiencia-direito-pensao-por-morte/,"As crueldades da Reforma da PrevidênciaPessoas com síndrome de down, autismo, esquizofrenia e transtornos considerados de moderados a médio perdem o direito a pensão após morte de pais ou responsáveis.",
6,https://aosfatos.org/noticias/reforma-da-previdencia-nao-diminuiu-abono-salarial-pispasep-pela-metade/,"Aprovada a redução do PIS de R$ 998,00 para R$ 468,00. Parabéns trabalhador e pobre que votou e pediu para se ferrar. Faz arminha!",
7,https://aosfatos.org/noticias/e-falso-que-bolsonaro-importara-tecnologia-que-remove-cancer-de-mama-sem-cirurgia/,"Câncer no seio não precisa mais fazer cirurgia. Presidente Bolsonaro vai autorizar a importação dessa tecnologia de Israel. Embora chamado de machista, foi o único presidente que se lembrou em primeiro lugar das mulheres Vamos divulgar!",1221222080689115136	1217550966851018754	1217541850795474945	1216005057197400064	1215755285219819520	1215698267255779330	1214923702246289413	1214599873946902535	1213216325511864320	1177346267619500032
8,https://aosfatos.org/noticias/zelia-cardoso-nao-foi-embaixadora-do-brasil-nos-eua/,"Vc sabia que a Zélia Cardoso, antes de ser ministra, foi embaixadora do Brasil, nos EUA, sem falar inglês Não, vc não se preocupava com o Brasil antigamente. Só agora, já que ele está sendo colocado nos trilhos!",
9,https://aosfatos.org/noticias/nao-e-verdade-que-governo-bolsonaro-descobriu-petroleo-no-mato-grosso/,Achado petróleo no mato grosso para 80 anos de consumo e pode agora nosso combustível reduzir para 2.70 o litro vamos divulgar valeu Bolsonaro....,1150904400887635968
10,https://aosfatos.org/noticias/e-falso-que-pt-nomeou-aloysio-nunes-embaixador-nos-eua/,"Só para lembrar, o PT nomeou embaixador nos EUA o Aloísio Nunez. Ex motorista do terrorista assassino Marighella.",1150456074383876096	1150133945549414401	1150133575418880000
11,https://aosfatos.org/noticias/patricia-lelis-nao-denunciou-glauber-braga-por-agressao-e-ameaca/,"Ué, não foi esse tal de Glauber Braga que chamou Moro de LADRO Então, quer dizer que além de bater em mulher, ele ameaçava liberar fotos íntimas, segundo a feminazi lelis Patricia",
12,https://aosfatos.org/noticias/e-falso-que-tite-afirmou-que-eleitores-de-bolsonaro-sao-alienados/,Tite fala em entrevista à Globo: Eleitores de Bolsonaro são alienados,
13,https://aosfatos.org/noticias/revista-veja-nao-publicou-que-moro-cobrava-r-80-mil-para-arquivar-processos/,Sergio Moro quando era Juiz cobrava R$ 80 mil dólares pra arquivar processos de narcotraficante. Tá na Veja página 35.,
14,https://aosfatos.org/noticias/andre-esteves-nao-e-o-dono-da-revista-veja/,"Tá aí o dono da revista VEJA, André Esteves, preso pela operação Lava Jato.",1148680430192926723	1148407931131633665	1148264804341227522	1148180504925151232
15,https://aosfatos.org/noticias/wyllys-nao-postou-tweet-com-criticas-a-greenwald-e-sobre-suposto-acordo-com-jornalista/,Jean Wyllys: Não foi isso o acordo @ggreenwald [...],
16,https://aosfatos.org/noticias/nao-e-glauber-braga-homem-gravado-escondendo-dinheiro-na-cueca/,Esse é o deputado que chamou Moro de ladrão,1233111542905868290	1230487407386034176	1229958593350438912	1229924379590561792	1229916796439928834	1229297571862056960	1229297164712583168	1229290944308137984	1229167840508481536	1229150652686839813
17,https://aosfatos.org/noticias/moro-nao-disse-na-ccj-fecharia-o-congresso-se-contasse-verdade/,"Em meio a ataques na Câmara, Sérgio Moro dispara: Se eu falar a verdade vou ter que prender todos e fechar o congresso!",1146158151428976642
18,https://aosfatos.org/noticias/e-falso-que-revista-de-bagagens-adotada-por-bolsonaro-permitiu-prisao-de-militar-com-cocaina/,"Durante os governos Lula, Dilma e Temer, os aviões que transportavam homens da comitiva presidencial, bem como a tripulação, não tinham a permissão do Itamaraty para serem revistados. O sargento que foi preso na Espanha com 39 kg de cocaína em seu container de mão, já havia participado em de 56 voos de preparação do presidente Lula, 52 da PresidentA Dilma e 2 do Temer. Só foi preso agora porque sem comunicação prévia, o governo Bolsonaro retirou a inviolabilidade de bagagens diplomáticas nas comitivas presidenciais. Isso a imprensa não informa.",1147709899343900672	1147256979313831936	1146500740984332290	1146464061414092800	1145829444617211908	1145800685830725637	1145792919565193216	1145768203244716041	1145756404147458048	1145749266817855488
19,https://aosfatos.org/noticias/e-montagem-foto-que-mostra-maria-do-rosario-com-camiseta-do-mbl/,Maria do Rosário e a esquerda iniciam namoro com MBL.,
20,https://aosfatos.org/noticias/homem-que-aparece-em-foto-ao-lado-de-bolsonaro-e-queiroz-nao-e-militar-preso-na-espanha/,Olha quem está ao lado do Queiroz nesse almoço: o sargento dos 39 kg.,1144726040947957765
21,https://aosfatos.org/noticias/imagem-da-paulista-repleta-de-manifestantes-nao-e-de-ato-governista-do-dia-30/,"Quê que é isso, BRASIIIIIIIIIIIIIIIL",1230459385480196096	1172251025492840462	1152380008998100992	1151214854822383617	1146237342736375809	1137364165742551041	1101587304840335361	1098995518615764992	1096664853756948480	1094507338285879297
22,https://aosfatos.org/noticias/foto-de-2018-e-compartilhada-como-se-fosse-de-manifestacao-pro-governo-do-dia-30/,"Sem nudez, sem drogas, sem vandalismo. Pátria amada Brasil.",
23,https://aosfatos.org/noticias/manifestante-pro-governo-nao-ergueu-cartaz-sergio-moro-e-bom-pra-burro/,Sergio Moro é bom pra burro!,1169075220281483265	1146150887896883200	1146128256602710017	1146064008773922816	1145829883773358081	1145801159283740678	1145776588262215680	1145761467960057858	1145754234815688704	1145745027785560069
24,https://aosfatos.org/noticias/e-montagem-foto-de-bolsonaro-rodeado-por-lideres-mundiais/,Quem foi que disse que #Bolsonaro ficaria isolado no G20,
25,https://aosfatos.org/noticias/foto-de-eduardo-bolsonaro-com-militar-preso-por-transportar-cocaina-e-montagem/,Militar preso com os 39 quilos de cocaína em avião presidencial. Só coincidência.,1144042976513069056
